Datetime,AEP,COMED,DAYTON,DEOK,DOM,DUQ,EKPC,FE,NI,PJME,PJMW,PJM_Load,Year,Month,Day,Weekday,Is_Weekend,Hour
1998-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27813.739130434784,1998,4,1,2.0,0.0,0.0
1998-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26605.791666666668,1998,4,2,3.0,0.0,0.0
1998-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25672.333333333332,1998,4,3,4.0,0.0,0.0
1998-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24487.083333333332,1998,4,4,5.0,1.0,0.0
1998-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23487.565217391304,1998,4,5,6.0,1.0,0.0
1998-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26679.666666666668,1998,4,6,0.0,0.0,0.0
1998-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26805.833333333332,1998,4,7,1.0,0.0,0.0
1998-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26540.666666666668,1998,4,8,2.0,0.0,0.0
1998-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27400.25,1998,4,9,3.0,0.0,0.0
1998-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25057.833333333332,1998,4,10,4.0,0.0,0.0
1998-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23067.875,1998,4,11,5.0,1.0,0.0
1998-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21677.041666666668,1998,4,12,6.0,1.0,0.0
1998-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25535.333333333332,1998,4,13,0.0,0.0,0.0
